history,scenario,attempt_budget,policy,eligible_failures,distinct_failed_questions,evaluated_questions,evaluated_episodes,next_repeat_rate,next_switch_rate,next_stop_rate,mean_probability_drop,mean_first_arm_observations,mean_initial_logit_bonus,valid_bootstrap_draws,recovery,recovery_low,recovery_high,mean_cost,mean_cost_low,mean_cost_high,recovery_delta,recovery_delta_low,recovery_delta_high,cost_delta,cost_delta_low,cost_delta_high
200,id,3,repeat_initial,120,52,60,180,1.0,0.0,0.0,0.006689487341033632,521.3416666666667,6.617215293886382e-06,2000,0.25833333333333336,0.17272727272727273,0.35514597976365175,3.1139657818360735,2.9546347778643827,3.3276591758460166,-0.025,-0.05469645928899083,0.0,0.03389575459747778,-0.007581375644415707,0.09965085201280222
200,id,3,switch_on_failure,120,52,60,180,0.0,1.0,0.0,0.006689487341033632,521.3416666666667,6.617215293886382e-06,2000,0.5,0.39848958679885554,0.6087126358695651,5.455949499367088,5.012485753255332,5.870258716573365,0.21666666666666667,0.09800759013282732,0.33884647709763266,2.3758794721284895,1.9551304300452654,2.759293360809966
200,id,5,original,120,52,60,180,0.9833333333333333,0.016666666666666666,0.0,0.006689487341033632,521.3416666666667,6.617215293886382e-06,2000,0.4083333333333333,0.29912935323383083,0.5185272536687631,4.580957658611321,4.263541385166262,4.900750038296246,0.0,0.0,0.0,0.0,0.0,0.0
200,id,5,discount_after_failure,120,52,60,180,0.9833333333333333,0.016666666666666666,0.0,0.006860630359087788,521.3416666666667,6.617215293886382e-06,2000,0.4083333333333333,0.30088315706165913,0.5229576234163389,4.577166970789112,4.264768180266652,4.8869895401289645,0.0,-0.024004838709677418,0.025,-0.0037906878222078388,-0.017333024206820705,0.0077774457041850775
200,id,5,repeat_initial,120,52,60,180,1.0,0.0,0.0,0.006689487341033632,521.3416666666667,6.617215293886382e-06,2000,0.375,0.26150406504065044,0.4954128440366973,4.59964768636902,4.283625185399302,4.9327077800398555,-0.03333333333333333,-0.07274395329441201,0.0001811594202888665,0.018690027757699717,-0.09364107459852279,0.13120940350526722
200,id,5,switch_on_failure,120,52,60,180,0.0,1.0,0.0,0.006689487341033632,521.3416666666667,6.617215293886382e-06,2000,0.55,0.4347621000820344,0.6666666666666666,7.664231418867789,6.802824204697566,8.512912164884225,0.14166666666666666,-0.014290890269151138,0.2845818815331009,3.0832737602564695,2.297497877579965,3.8671808988334466
1000,arm_shift,3,original,122,54,60,180,0.9508196721311475,0.04918032786885246,0.0,0.01072326974126547,1674.2459016393443,6.607557804832215e-06,2000,0.29508196721311475,0.20511811023622045,0.39344262295081966,4.691202226716809,4.128742707855682,5.267697443971006,0.0,0.0,0.0,0.0,0.0,0.0
1000,arm_shift,3,discount_after_failure,122,54,60,180,0.9426229508196722,0.05737704918032787,0.0,0.012259383564000092,1674.2459016393443,6.607557804832215e-06,2000,0.29508196721311475,0.20511811023622045,0.39344262295081966,4.708888501096871,4.148657275431637,5.299211529494729,0.0,0.0,0.0,0.017686274380061054,-0.016693704337371513,0.07609621088528261
1000,arm_shift,3,repeat_initial,122,54,60,180,1.0,0.0,0.0,0.01072326974126547,1674.2459016393443,6.607557804832215e-06,2000,0.2786885245901639,0.18115629685157422,0.3853371962015129,4.911449275742025,4.278757326275919,5.57882133588894,-0.01639344262295082,-0.04919048909361875,0.015748031496062992,0.22024704902521436,0.047074018252835886,0.44152594272931006
1000,arm_shift,3,switch_on_failure,122,54,60,180,0.0,1.0,0.0,0.01072326974126547,1674.2459016393443,6.607557804832215e-06,2000,0.4426229508196721,0.328121875,0.5603513584117031,6.830528891742627,6.38595481488764,7.265710753027418,0.14754098360655737,0.008329918032786885,0.2881544256120526,2.1393266650258176,1.5324033342563737,2.76289609694231
