history,scenario,attempt_budget,policy,unique_questions,seeds,success,success_low,success_high,success_delta_vs_original,success_delta_vs_original_low,success_delta_vs_original_high,cost_delta_vs_original,cost_delta_vs_original_low,cost_delta_vs_original_high
1000,id,2,ewma,60,3,0.55,0.45,0.6444444444444444,0.07222222222222223,-0.005555555555555555,0.15555555555555559,-0.4075869576546133,-0.6663411306202743,-0.17409838306531103
1000,id,2,repeat_initial,60,3,0.4666666666666667,0.3722222222222221,0.5666666666666667,-0.01111111111111111,-0.03333333333333333,0.01111111111111111,0.07411905575189698,0.007493715004604835,0.15549659456389373
1000,id,2,switch_on_failure,60,3,0.5611111111111111,0.461111111111111,0.6611111111111109,0.08333333333333334,0.016666666666666666,0.15555555555555556,1.1333218792401076,0.8404346882452346,1.4370407768903304
1000,id,3,original,60,3,0.5666666666666667,0.45555555555555555,0.6722222222222223,0.0,0.0,0.0,0.0,0.0,0.0
1000,id,3,ewma,60,3,0.6333333333333332,0.5333333333333333,0.7333333333333332,0.06666666666666668,-0.033333333333333326,0.16111111111111115,-0.5791713973761675,-0.9650473064801814,-0.25406305389722206
1000,id,3,repeat_initial,60,3,0.55,0.43888888888888883,0.6611111111111111,-0.016666666666666666,-0.04444444444444444,0.005555555555555555,0.1252659942627125,-0.015632257086201768,0.295104370206357
1000,id,3,switch_on_failure,60,3,0.6444444444444444,0.549861111111111,0.7388888888888889,0.07777777777777779,-0.016666666666666656,0.17777777777777776,1.7070722183730813,1.2488139834608287,2.1704361574641164
1000,id,5,original,60,3,0.6499999999999999,0.5444444444444445,0.7500000000000001,0.0,0.0,0.0,0.0,0.0,0.0
1000,id,5,ewma,60,3,0.7444444444444444,0.638888888888889,0.8333333333333334,0.09444444444444446,-2.312964634635611e-20,0.18333333333333338,-0.7149945821962478,-1.117283584433617,-0.3368545181624187
1000,id,5,repeat_initial,60,3,0.6055555555555556,0.49999999999999994,0.7111111111111111,-0.04444444444444444,-0.07777777777777777,-0.016666666666666666,-0.0030376136681913744,-0.1416763983421101,0.15614013344951871
1000,id,5,switch_on_failure,60,3,0.6555555555555554,0.5555555555555556,0.7555555555555553,0.005555555555555561,-0.09444444444444443,0.10013888888888818,1.4585372633611071,0.8725872429664646,2.066523283398807
200,arm_shift,1,original,60,3,0.3888888888888889,0.28888888888888886,0.4833333333333334,0.0,0.0,0.0,0.0,0.0,0.0
200,arm_shift,1,ewma,60,3,0.3888888888888889,0.3,0.47222222222222227,-1.8503717077085942e-18,-0.07222222222222222,0.07222222222222222,-0.06376046860231506,-0.1471058831537202,0.010108500859220944
200,arm_shift,1,repeat_initial,60,3,0.3888888888888889,0.28888888888888886,0.4833333333333334,0.0,0.0,0.0,0.0,0.0,0.0
200,arm_shift,1,switch_on_failure,60,3,0.3888888888888889,0.28888888888888886,0.4833333333333334,0.0,0.0,0.0,0.0,0.0,0.0
200,arm_shift,2,original,60,3,0.5222222222222223,0.41666666666666674,0.6277777777777777,0.0,0.0,0.0,0.0,0.0,0.0
200,arm_shift,2,ewma,60,3,0.5666666666666667,0.45555555555555555,0.672222222222222,0.04444444444444444,-0.03333333333333332,0.12222222222222223,-0.13257518763424062,-0.2862777282352301,0.012940839018886749
200,arm_shift,2,repeat_initial,60,3,0.511111111111111,0.4055555555555556,0.6166666666666667,-0.01111111111111111,-0.04444444444444444,0.022222222222222223,-0.02209586460570677,-0.08522427743867,0.03853618802644409
200,arm_shift,2,switch_on_failure,60,3,0.5444444444444443,0.4444444444444445,0.6444444444444444,0.02222222222222222,-0.03888888888888888,0.08888888888888888,0.30520244422429166,0.1663261990425275,0.4567005691020827
200,arm_shift,3,original,60,3,0.5888888888888889,0.48319444444444437,0.6944444444444444,0.0,0.0,0.0,0.0,0.0,0.0
200,arm_shift,3,ewma,60,3,0.6444444444444445,0.538888888888889,0.7499999999999999,0.05555555555555556,-0.005555555555555555,0.12236111111111038,-0.24142836300854048,-0.48468436451765073,-0.009539964907115244
200,arm_shift,3,repeat_initial,60,3,0.5555555555555555,0.4555555555555555,0.6612499999999996,-0.03333333333333333,-0.07222222222222222,0.011111111111111108,-0.018566129139011355,-0.1258882970110441,0.10766144235095099
200,arm_shift,3,switch_on_failure,60,3,0.6,0.49999999999999994,0.7,0.011111111111111108,-0.055694444444444456,0.08888888888888888,1.4005894078115242,0.9860804523205269,1.792956291955249
200,arm_shift,5,original,60,3,0.6777777777777778,0.5722222222222223,0.7833333333333332,0.0,0.0,0.0,0.0,0.0,0.0
200,arm_shift,5,ewma,60,3,0.7444444444444442,0.65,0.8388888888888887,0.06666666666666667,-1.8735013540549502e-18,0.13888888888888887,-0.41747010976053184,-0.8489178047989447,-0.04705857020995926
200,arm_shift,5,repeat_initial,60,3,0.6166666666666667,0.5055555555555556,0.7277777777777779,-0.06111111111111111,-0.09999999999999996,-0.027777777777777776,-0.004675177580064073,-0.17628243640102745,0.18536704572059834
200,arm_shift,5,switch_on_failure,60,3,0.6944444444444445,0.5944444444444446,0.788888888888889,0.016666666666666673,-0.07777777777777775,0.10555555555555557,1.8936565341200298,1.1860757560571742,2.5898635918171045
200,id,1,original,60,3,0.3722222222222222,0.2777777777777778,0.47222222222222204,0.0,0.0,0.0,0.0,0.0,0.0
200,id,1,ewma,60,3,0.36111111111111105,0.2722222222222222,0.4611111111111109,-0.011111111111111108,-0.061111111111111116,0.04444444444444444,-0.06376046860231506,-0.1426998950516501,0.007597582202604129
200,id,1,repeat_initial,60,3,0.3722222222222222,0.2777777777777778,0.47222222222222204,0.0,0.0,0.0,0.0,0.0,0.0
200,id,1,switch_on_failure,60,3,0.3722222222222222,0.2777777777777778,0.47222222222222204,0.0,0.0,0.0,0.0,0.0,0.0
200,id,2,original,60,3,0.4777777777777778,0.3833333333333334,0.566805555555555,0.0,0.0,0.0,0.0,0.0,0.0
200,id,2,ewma,60,3,0.4833333333333334,0.38888888888888895,0.5777777777777778,0.0055555555555555575,-0.04444444444444444,0.05555555555555556,-0.052001095163663594,-0.15998388437333766,0.04666508706245919
200,id,2,repeat_initial,60,3,0.44999999999999996,0.35555555555555546,0.55,-0.027777777777777776,-0.05555555555555556,-0.005555555555555555,-0.02274412693324712,-0.07134184424673078,0.021447602278166413
200,id,2,switch_on_failure,60,3,0.5499999999999999,0.44999999999999996,0.6501388888888883,0.07222222222222222,0.016666666666666666,0.1333333333333333,0.45008100599073525,0.29100396564871783,0.6262142189646538
200,id,3,original,60,3,0.5833333333333334,0.4833333333333333,0.6833333333333333,0.0,0.0,0.0,0.0,0.0,0.0
200,id,3,ewma,60,3,0.5722222222222223,0.47763888888888884,0.6666666666666666,-0.011111111111111112,-0.07222222222222222,0.0611111111111111,-0.11814173177918864,-0.25465167879587275,0.008201553987623485
200,id,3,repeat_initial,60,3,0.5388888888888889,0.4388888888888888,0.6444444444444444,-0.044444444444444446,-0.09999999999999996,0.0,-0.07641669426142106,-0.1588254582217435,0.017759683712531626
200,id,3,switch_on_failure,60,3,0.6611111111111111,0.5666666666666667,0.75,0.07777777777777778,-0.005555555555555555,0.1611111111111111,1.424914930467272,1.0390031533848871,1.8525094424223838
200,id,5,original,60,3,0.6833333333333332,0.577777777777778,0.7833333333333333,0.0,0.0,0.0,0.0,0.0,0.0
200,id,5,ewma,60,3,0.6944444444444444,0.6055555555555555,0.7833333333333333,0.011111111111111108,-0.04444444444444444,0.07222222222222222,-0.09867462507960602,-0.3134984422206198,0.11799605584820114
200,id,5,repeat_initial,60,3,0.6222222222222221,0.5055555555555555,0.7333333333333335,-0.06111111111111111,-0.1111111111111111,-0.016666666666666666,-0.08414090176731531,-0.208365867255585,0.03970921934502771
200,id,5,switch_on_failure,60,3,0.6777777777777777,0.5833333333333336,0.7666666666666667,-0.0055555555555555575,-0.09999999999999999,0.08333333333333331,1.815749642403259,1.2133312520765425,2.446013252015073
50,arm_shift,1,original,60,3,0.36666666666666664,0.2833333333333333,0.45000000000000007,0.0,0.0,0.0,0.0,0.0,0.0
50,arm_shift,1,ewma,60,3,0.33888888888888885,0.2611111111111111,0.4166666666666667,-0.027777777777777776,-0.06666666666666667,0.011111111111111112,0.040132038251475266,-0.03815636946901738,0.11085638518465868
50,arm_shift,1,repeat_initial,60,3,0.36666666666666664,0.2833333333333333,0.45000000000000007,0.0,0.0,0.0,0.0,0.0,0.0
50,arm_shift,1,switch_on_failure,60,3,0.36666666666666664,0.2833333333333333,0.45000000000000007,0.0,0.0,0.0,0.0,0.0,0.0
50,arm_shift,2,original,60,3,0.5222222222222221,0.4277777777777777,0.6222222222222221,0.0,0.0,0.0,0.0,0.0,0.0
50,arm_shift,2,ewma,60,3,0.5166666666666666,0.41666666666666663,0.6222222222222221,-0.005555555555555554,-0.05,0.03888888888888888,0.0732444395056392,-0.053545551325158605,0.20936687589556807
50,arm_shift,2,repeat_initial,60,3,0.4777777777777778,0.38333333333333336,0.5777777777777776,-0.04444444444444444,-0.09444444444444446,0.0055555555555555575,3.7007434154171884e-18,-0.07640088740467446,0.07470894092240533
