history,scenario,mode,attempt_budget,policy,requests,seeds,success_rate,success_rate_seed_sd,mean_cost,mean_attempts,cost_per_success,repeat_after_failure,retry_opportunities,first_failures,recovery_given_first_failure
50,id,episodic,1,original,180,3,0.4166666666666667,0.1641476300299351,1.2933825660074598,1.0,3.104118158417907,,0,105,0.0
50,id,episodic,1,ewma,180,3,0.4444444444444444,0.20570565090637355,1.333514604258935,1.0,3.0004078595826074,,0,100,0.0
50,id,episodic,1,repeat_initial,180,3,0.4166666666666667,0.1641476300299351,1.2933825660074598,1.0,3.104118158417907,,0,105,0.0
50,id,episodic,1,switch_on_failure,180,3,0.4166666666666667,0.1641476300299351,1.2933825660074598,1.0,3.104118158417907,,0,105,0.0
50,id,episodic,2,original,180,3,0.5555555555555556,0.10183501544346309,2.0664863315412383,1.5833333333333333,3.719675396774233,0.5523809523809524,105,105,0.23809523809523808
50,id,episodic,2,ewma,180,3,0.55,0.1,1.981277268107204,1.5555555555555556,3.602322305649464,0.6,100,100,0.19
50,id,episodic,2,repeat_initial,180,3,0.5166666666666667,0.07264831572567787,2.0165920895726734,1.5833333333333333,3.90308146368905,1.0,105,105,0.17142857142857143
50,id,episodic,2,switch_on_failure,180,3,0.5722222222222222,0.06735753140545636,2.2467025107140297,1.5833333333333333,3.926276232315785,0.0,105,105,0.26666666666666666
50,id,episodic,3,original,180,3,0.6444444444444445,0.05091750772173154,2.6767567674495707,2.0277777777777777,4.153588087421753,0.5135135135135135,185,105,0.3904761904761905
50,id,episodic,3,ewma,180,3,0.6,0.12583057392117913,2.580959994012897,2.0055555555555555,4.301599990021499,0.569060773480663,181,100,0.28
50,id,episodic,3,repeat_initial,180,3,0.5944444444444444,0.053575837561071975,2.6054164196002865,2.066666666666667,4.382943509607963,1.0,192,105,0.3047619047619048
50,id,episodic,3,switch_on_failure,180,3,0.6611111111111111,0.03469443332443553,4.080173110924656,2.011111111111111,6.171690419886043,0.0,182,105,0.41904761904761906
50,id,episodic,5,original,180,3,0.7111111111111111,0.058531409738070785,3.69576450094256,2.6944444444444446,5.197168829450481,0.4524590163934426,305,105,0.5047619047619047
50,id,episodic,5,ewma,180,3,0.7,0.13017082793177756,3.66939700051073,2.7555555555555555,5.241995715015334,0.49683544303797467,316,100,0.46
50,id,episodic,5,repeat_initial,180,3,0.6833333333333333,0.11666666666666665,3.466609929051717,2.816666666666667,5.073087701051299,1.0,327,105,0.45714285714285713
50,id,episodic,5,switch_on_failure,180,3,0.7,0.02886751345948125,5.474065696224228,2.3222222222222224,7.8200938517489025,0.0,238,105,0.4857142857142857
50,arm_shift,episodic,1,original,180,3,0.36666666666666664,0.06009252125773318,1.2933825660074598,1.0,3.5274069982021667,,0,114,0.0
50,arm_shift,episodic,1,ewma,180,3,0.3388888888888889,0.09179284245476838,1.333514604258935,1.0,3.934961127321452,,0,119,0.0
50,arm_shift,episodic,1,repeat_initial,180,3,0.36666666666666664,0.06009252125773318,1.2933825660074598,1.0,3.5274069982021667,,0,114,0.0
50,arm_shift,episodic,1,switch_on_failure,180,3,0.36666666666666664,0.06009252125773318,1.2933825660074598,1.0,3.5274069982021667,,0,114,0.0
50,arm_shift,episodic,2,original,180,3,0.5222222222222223,0.07515416254704822,2.1322973451576104,1.6333333333333333,4.083122575833726,0.6228070175438597,114,114,0.24561403508771928
50,arm_shift,episodic,2,ewma,180,3,0.5166666666666667,0.08333333333333331,2.2055417846632492,1.6611111111111112,4.268790550961131,0.5546218487394958,119,119,0.2689075630252101
50,arm_shift,episodic,2,repeat_initial,180,3,0.4777777777777778,0.0838870492807861,2.13229734515761,1.6333333333333333,4.462947931725235,1.0,114,114,0.17543859649122806
50,arm_shift,episodic,2,switch_on_failure,180,3,0.5611111111111111,0.025458753860865796,2.413867057124875,1.6333333333333333,4.301941289925525,0.0,114,114,0.30701754385964913
50,arm_shift,episodic,3,original,180,3,0.6166666666666667,0.033333333333333326,2.8788671822345475,2.111111111111111,4.668433268488461,0.56,200,114,0.39473684210526316
50,arm_shift,episodic,3,ewma,180,3,0.6277777777777778,0.03469443332443553,2.8290976053705954,2.1444444444444444,4.506527158997414,0.5,206,119,0.4369747899159664
