history,scenario,attempt_budget,policy,unique_questions,paired_episodes,success_delta,success_delta_low,success_delta_high,cost_delta,cost_delta_low,cost_delta_high
1000,arm_shift,1,ewma,60,180,0.02222222222222222,-0.03333333333333333,0.07222222222222222,-0.13646476159948273,-0.16426313896234035,-0.11119350945143043
1000,arm_shift,1,original,60,180,0.0611111111111111,0.02222222222222222,0.09999999999999996,-0.061815681619694036,-0.19092696668306705,0.05678677124309246
1000,arm_shift,1,repeat_initial,60,180,0.0611111111111111,0.02222222222222222,0.09999999999999996,-0.061815681619694036,-0.18359088240936805,0.0662583601196673
1000,arm_shift,1,switch_on_failure,60,180,0.0611111111111111,0.02222222222222222,0.09999999999999996,-0.061815681619694036,-0.1829501692114629,0.058195652014482464
1000,arm_shift,2,ewma,60,180,0.1,0.03333333333333333,0.16666666666666666,-0.20922948811780967,-0.28854482847627816,-0.12487242995787935
1000,arm_shift,2,original,60,180,0.05,-1.8503717077085942e-18,0.1,-0.2308271116494862,-0.4668631538670388,0.012503493470056817
1000,arm_shift,2,repeat_initial,60,180,0.04444444444444444,-4.625929269271222e-20,0.08888888888888886,-0.21001372649855146,-0.458492827466875,0.03201677257540963
1000,arm_shift,2,switch_on_failure,60,180,0.016666666666666663,-0.027777777777777776,0.061111111111111116,0.12450468803095935,-0.17776377711310737,0.4394085817315258
1000,arm_shift,3,ewma,60,180,0.09444444444444446,0.03888888888888888,0.1611111111111111,-0.39767887063599294,-0.5452054772194962,-0.2628004227546648
1000,arm_shift,3,original,60,180,0.03333333333333333,-0.02222222222222222,0.08888888888888888,-0.38269266586919326,-0.7842461251503835,0.014984344296420794
1000,arm_shift,3,repeat_initial,60,180,0.03333333333333333,-0.01111111111111111,0.08333333333333331,-0.33901797949593704,-0.716394790278731,0.04371690656824761
1000,arm_shift,3,switch_on_failure,60,180,-0.049999999999999996,-0.10555555555555553,-1.8503717077085942e-18,-0.07527089964650457,-0.4765031220917044,0.357339084887947
1000,arm_shift,5,ewma,60,180,0.09444444444444443,0.03333333333333333,0.1611111111111111,-0.7205053959095592,-1.022199522620207,-0.4370771316077582
1000,arm_shift,5,original,60,180,0.03888888888888888,-0.02222222222222222,0.09999999999999999,-0.35674450102630284,-0.7998309937004757,0.08534715000354505
1000,arm_shift,5,repeat_initial,60,180,0.03333333333333333,-0.011111111111111112,0.07777777777777777,-0.32233071324419066,-0.7043368142451287,0.07957866508407903
1000,arm_shift,5,switch_on_failure,60,180,-0.10555555555555556,-0.17222222222222222,-0.04444444444444444,-0.7065904288426625,-1.2221564953448607,-0.17818610447222685
